model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model102,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5838,0.9189,1.0,1.0,0.0,0.0
model102,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2364,0.1818,0.0,1.0,0.0,0.0
model102,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model102,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4339,0.25,1.0,0.5,0.4194,0.0
model102,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model102,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.7329,0.95,1.0,1.0,0.0,0.7143
model102,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model102,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2468,0.0909,0.0,1.0,0.1429,0.0
model109,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5589,0.8571,1.0,0.9375,0.0,0.0
model109,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model109,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model109,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model109,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model109,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.259,0.4615,0.0,0.0,0.4167,0.4167
model109,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model109,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model148,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5829,0.9143,1.0,1.0,0.0,0.0
model148,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model148,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model148,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5139,0.3571,0.5,0.4,0.5,0.8125
model148,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model148,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0821,0.3333,0.0,0.0,0.0769,0.0
model148,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model148,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1394,0.1818,0.3333,0.0,0.0,0.1818
model208,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4148,0.9091,,0.75,0.0,0.0
model208,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2538,0.3333,,0.5,0.0,0.1818
model208,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,,0.0,0.0,0.0
model208,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,,0.0,0.0,0.0
model208,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,0.0,0.0,0.0
model208,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,1.0,1.0,,1.0,1.0,1.0
model208,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,,0.0,0.0,0.0
model208,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1154,0.4615,,0.0,0.0,0.0
model70,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.14,0.2,0.0,0.5,0.0,0.0
model70,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.14,0.2,0.0,0.5,0.0,0.0
model70,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.04,0.2,0.0,0.0,0.0,0.0
model70,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3423,0.0,0.0,0.5,0.4615,0.75
model70,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.14,0.2,0.0,0.5,0.0,0.0
model70,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4725,0.3636,0.4,0.5,0.3846,0.7143
model70,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.14,0.2,0.0,0.5,0.0,0.0
model70,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.19,0.2,0.0,0.75,0.0,0.0
model186,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6647,0.9048,1.0,1.0,0.3077,0.1111
model186,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0525,0.0625,0.0,0.2,0.0,0.0
model186,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model186,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.636,0.88,0.8,0.8889,0.6111,0.0
model186,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0
