model,family,n_constraints,coverage_nisaba,coverage_zeroshot,aligned_nisaba,aligned_zeroshot,density_nisaba,density_zeroshot,profilecos_nisaba,profilecos_zeroshot
model35,anthropic,15,1.0,1.0,0.933,0.933,5.98,3.45,0.779,0.696
model35,deepseek,15,1.0,1.0,1.0,0.4,7.41,3.66,0.867,0.836
model35,xai,15,1.0,1.0,0.933,0.0,10.76,4.88,0.924,0.829
model35,zai,15,1.0,0.933,0.933,0.0,6.65,3.98,0.841,0.678
model38,anthropic,10,1.0,1.0,0.9,0.8,5.73,5.0,0.919,0.856
model38,deepseek,10,1.0,1.0,0.7,0.6,7.49,7.53,0.883,0.817
model38,xai,10,1.0,1.0,0.7,0.8,7.7,6.08,0.839,0.646
model38,zai,10,1.0,1.0,0.9,0.7,5.02,3.48,0.831,0.792
model44,anthropic,9,1.0,1.0,0.778,0.889,4.71,5.06,0.733,0.806
model44,deepseek,9,1.0,1.0,0.889,0.667,9.72,3.79,0.799,0.59
model44,xai,9,1.0,1.0,0.889,0.444,6.29,3.15,0.814,0.639
model44,zai,9,1.0,1.0,0.778,0.667,8.43,2.58,0.903,0.876
model5,anthropic,8,1.0,1.0,1.0,1.0,7.77,3.82,0.866,0.805
model5,deepseek,8,1.0,1.0,1.0,0.625,8.98,7.11,0.81,0.625
model5,xai,8,1.0,1.0,1.0,0.875,5.96,4.8,0.773,0.853
model5,zai,8,1.0,1.0,1.0,0.875,6.5,4.93,0.858,0.903
model53,anthropic,15,1.0,1.0,0.733,0.867,6.0,3.87,0.578,0.438
model53,deepseek,15,1.0,1.0,0.933,0.733,9.77,4.23,0.95,0.638
model53,xai,15,1.0,1.0,0.933,0.867,9.87,5.46,0.964,0.957
model53,zai,15,1.0,1.0,1.0,0.733,7.76,5.83,0.956,0.291
model57,anthropic,15,1.0,1.0,0.8,0.667,6.44,5.26,0.615,0.575
model57,deepseek,15,1.0,0.733,0.4,0.182,7.47,6.73,0.802,0.694
model57,xai,15,1.0,1.0,0.533,0.467,6.33,4.44,0.674,0.386
model57,zai,15,1.0,0.8,0.667,0.333,6.98,5.34,0.706,0.475
model67,anthropic,9,1.0,1.0,1.0,1.0,5.73,5.06,0.524,0.725
model67,deepseek,9,1.0,1.0,1.0,0.556,7.32,4.67,0.803,0.227
model67,xai,9,1.0,1.0,1.0,0.333,7.82,3.11,0.948,0.452
model67,zai,9,1.0,1.0,1.0,0.444,5.24,3.22,0.901,0.174
model70,anthropic,10,1.0,1.0,1.0,0.9,6.52,4.89,0.735,0.667
model70,deepseek,10,1.0,1.0,0.9,0.6,7.27,4.67,0.709,0.847
model70,xai,10,1.0,1.0,0.9,0.5,8.93,3.26,0.927,0.851
model70,zai,10,1.0,1.0,0.9,0.6,5.42,3.45,0.92,0.328
model78,anthropic,10,1.0,1.0,0.9,0.7,5.98,4.57,0.83,0.615
model78,deepseek,10,1.0,1.0,0.8,0.8,10.08,5.46,0.869,0.916
model78,xai,10,1.0,1.0,0.9,0.4,8.49,2.96,0.893,0.545
model78,zai,10,1.0,1.0,1.0,0.4,6.62,2.28,0.911,0.647
model81,anthropic,15,1.0,1.0,0.867,0.467,5.13,5.67,0.836,0.602
model81,deepseek,15,1.0,1.0,0.533,0.533,9.04,8.58,0.721,0.676
model81,xai,15,1.0,1.0,0.667,0.6,8.06,5.25,0.715,0.656
model81,zai,15,1.0,1.0,1.0,0.467,5.89,4.74,0.741,0.598
model9,anthropic,15,1.0,1.0,0.867,0.533,4.2,3.91,0.914,0.724
model9,deepseek,15,1.0,1.0,0.6,0.8,8.55,5.58,0.872,0.781
model9,xai,15,1.0,1.0,0.8,0.4,6.41,2.84,0.863,0.813
model9,zai,15,1.0,1.0,0.667,0.533,5.66,3.73,0.907,0.851
model97,anthropic,14,1.0,1.0,0.786,0.714,4.9,5.4,0.787,0.657
model97,deepseek,14,1.0,1.0,0.643,0.643,6.49,6.65,0.813,0.817
model97,xai,14,1.0,1.0,0.786,0.571,8.96,3.39,0.858,0.734
model97,zai,14,1.0,1.0,0.786,0.714,6.36,4.58,0.828,0.68
