model,variant,category,expected,total,control_flow,temporal,data_conditions,binds,attr_domains,pass
model93,drop_bind,SENSITIVITY,binds,0.01,0.0,0.0,0.0,0.050000000000000044,0.0,True
model93,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model103,recon_reorder,INVARIANCE,(total~0),0.1,0.0,0.0,0.5,0.0,0.0,True
model103,recon_paraphrase,INVARIANCE,(total~0),0.501,0.5714285714285714,0.8,0.8,0.33333333333333337,0.0,False
model103,syn_names,INVARIANCE,(total~0),0.501,0.5714285714285714,0.8,0.8,0.33333333333333337,0.0,False
model103,syn_all,INVARIANCE,(total~0),0.501,0.5714285714285714,0.8,0.8,0.33333333333333337,0.0,False
model103,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model103,tmpl_confusion,SENSITIVITY,control_flow,0.1133,0.06666666666666665,0.0,0.5,0.0,0.0,True
model103,drop_condition,SENSITIVITY,ANY,0.0667,0.0,0.33333333333333337,0.0,0.0,0.0,True
model103,neg_template,SENSITIVITY,control_flow,0.025,0.125,0.0,0.0,0.0,0.0,True
model103,swap_acts,SENSITIVITY,control_flow,0.125,0.125,0.5,0.0,0.0,0.0,True
model103,cardinality,SENSITIVITY,control_flow,0.025,0.125,0.0,0.0,0.0,0.0,True
model103,drop_constr,SENSITIVITY,control_flow,0.1467,0.06666666666666665,0.33333333333333337,0.33333333333333337,0.0,0.0,True
model103,add_constr,SENSITIVITY,control_flow,0.0125,0.0625,0.0,0.0,0.0,0.0,True
model103,op_flip,SENSITIVITY,data_conditions,0.1,0.0,0.0,0.5,0.0,0.0,True
model103,domain_range,SENSITIVITY,attr_domains,0.0364,0.0,0.0,0.0,0.0,0.18181818181818177,True
model103,time_window,SENSITIVITY,temporal,0.1,0.0,0.5,0.0,0.0,0.0,True
model103,time_unit,SENSITIVITY,temporal,0.1,0.0,0.5,0.0,0.0,0.0,True
model103,rebind,SENSITIVITY,binds,0.0364,0.0,0.0,0.0,0.18181818181818177,0.0,True
model103,drop_bind,SENSITIVITY,binds,0.04,0.0,0.0,0.0,0.09999999999999998,0.09999999999999998,True
model103,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model246,recon_reorder,INVARIANCE,(total~0),0.05,0.0,0.0,0.25,0.0,0.0,True
model246,recon_paraphrase,INVARIANCE,(total~0),0.4911,0.7272727272727273,0.6666666666666667,0.6,0.46153846153846156,0.0,False
model246,syn_names,INVARIANCE,(total~0),0.5688,0.782608695652174,1.0,0.6,0.46153846153846156,0.0,False
model246,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model246,syn_all,INVARIANCE,(total~0),0.5688,0.782608695652174,1.0,0.6,0.46153846153846156,0.0,False
model246,enum_synonym,INVARIANCE,(total~0),0.0364,0.0,0.0,0.0,0.0,0.18181818181818177,True
model246,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
model246,tmpl_confusion,SENSITIVITY,control_flow,0.0767,0.1333333333333333,0.0,0.25,0.0,0.0,True
model246,drop_condition,SENSITIVITY,ANY,0.0286,0.0,0.0,0.1428571428571429,0.0,0.0,True
model246,neg_template,SENSITIVITY,control_flow,0.16,0.1333333333333333,0.6666666666666667,0.0,0.0,0.0,True
model246,swap_acts,SENSITIVITY,control_flow,0.0633,0.06666666666666665,0.0,0.25,0.0,0.0,True
model246,cardinality,SENSITIVITY,control_flow,0.0267,0.1333333333333333,0.0,0.0,0.0,0.0,True
model246,drop_constr,SENSITIVITY,control_flow,0.0429,0.0714285714285714,0.0,0.1428571428571429,0.0,0.0,True
model246,add_constr,SENSITIVITY,control_flow,0.0133,0.06666666666666665,0.0,0.0,0.0,0.0,True
model246,op_flip,SENSITIVITY,data_conditions,0.05,0.0,0.0,0.25,0.0,0.0,True
model246,val_antonym,SENSITIVITY,ANY_DATA,0.2343,0.0,0.0,0.6,0.0,0.5714285714285714,True
model246,domain_range,SENSITIVITY,attr_domains,0.0364,0.0,0.0,0.0,0.0,0.18181818181818177,True
model246,time_window,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model246,time_unit,SENSITIVITY,temporal,0.1333,0.0,0.6666666666666667,0.0,0.0,0.0,True
model246,rebind,SENSITIVITY,binds,0.0364,0.0,0.0,0.0,0.18181818181818177,0.0,True
model246,drop_bind,SENSITIVITY,binds,0.04,0.0,0.0,0.0,0.09999999999999998,0.09999999999999998,True
model246,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,0.0,0.0,0.0,True
